content,score,at
saya sangat menyukai aplikasi dana ini,5,2026-06-28 11:17:52
sangat membantu,5,2026-06-28 11:12:19
sangat baik,5,2026-06-28 11:07:42
belum muncul dana cicil,5,2026-06-28 11:07:32
Sudah Pake Akun Dana 5 Tahun Tapi Belum Ada Fitur Dana Cicil Tolong Di Munculkan Fitur Dana Cicilnya,5,2026-06-28 11:07:07
"mau login aja susah, udah nomor udah ga kepake, udah di kasih pun, eh malah otp lagi, sudah banget",4,2026-06-28 11:06:16
enakk nie aplikasinya,5,2026-06-28 11:02:06
good,5,2026-06-28 11:00:35
sangat cepat,5,2026-06-28 11:00:07
Bagus,5,2026-06-28 10:57:23
"apk busuk, sistem pengiriman kode otp gabisa di Ubah,trus kita yang nomer maupun email tidak aktif ataupun hilang, gimana mau login/menerima kode otp tersebut,,,,",1,2026-06-28 10:53:10
sangat baik,5,2026-06-28 10:52:28
sangat simpel dan mudah digunakan terimakasih dana🎉🙏,5,2026-06-28 10:52:18
keren,5,2026-06-28 10:52:14
sangat puas,1,2026-06-28 10:52:09
dana cicil pinjam sekali dan dua kali udah lunas skrng tidak bisa dipakai...guna nya dana cicil buat apa coba kalau ga bisa dipakai...mending jangan dimunculin kali ah aneh amat kayanya....,1,2026-06-28 10:51:23
Gimana Cara Mengubah Nomor yang Tidak aktif tapi ada saldo nya terus dipindahkan ke nomor baru.. ini malah minta kode ke nomor lama. lucu nama nya aja sudah nggk aktif. giman solusinya,5,2026-06-28 10:51:08
aplikasi yang sangat cuman sayang dana instan nya gk muncul di aplikasi dana nya,5,2026-06-28 10:49:44
"terimakasih,sangat membantu",5,2026-06-28 10:48:25
"akun dana punya ku sudah lama loh , kok tidak bisa menggunakan fitur dana cicil sih ?",5,2026-06-28 10:47:48
mudah-mudahan bisa dapat fitur Dana cicil,5,2026-06-28 10:47:10
"berguna , tetapi TDK ada dana cicil nya",4,2026-06-28 10:46:06
tidak bisa menggunakan dana cicil,5,2026-06-28 10:34:15
membantu bangat,5,2026-06-28 10:31:03
"bermanfaat,,,",5,2026-06-28 10:30:10
kasih bintang 5 kali muncul fitur dana instan,5,2026-06-28 10:27:24
dana cicil,5,2026-06-28 10:26:52
pakai dana cicil sudah bbrp x tapi tiap x transaksi sisa saldo asli dan dana cicil yg digunakan selalu ga balance hitungan akhirnya. selalu kurang 5rb sampai 8rb. tadinya saya ga terlalu hitung tp 2x terakhir saya coba ternyats bkn prasangka tp beneran ilang senilai gitu tiap transaksi dgn dana cicil. mau tanya dijawab mesin diana ga guna.. disuruh lapor tapi ga ngasih nomor pengaduan.. jd komen disini aja.. d dana cicil dibuat tdk ada admin tersembunyi ternyata hilangnya dana pertransaksi,1,2026-06-28 10:06:19
good n better,4,2026-06-28 10:05:50
ada dana cicil nya tapi gak berguna di akunku karena gak bisa dipakai.,1,2026-06-28 10:05:28
bagus mantab tolong dong di kasih dana pinjam hahahahahaha pengguna setia ini....,5,2026-06-28 10:02:19
"Tolong sekali untuk pihak DANA, saya sudah menghubungi customer care DANA,akun saya tidak bisa masuk & kata customer care nya akun saya dibekukan,terus dialihkan ke email disuruh nunggu notifikasi selanjutnya. Tapi sampai sekarang belum ada pemberitahuan lagi, sudah hampir sebulan saya menunggu ini",1,2026-06-28 10:00:20
kok bukti transaksi nya tidak keluar setelah saya melakukan pembayaran?,2,2026-06-28 09:59:34
👍,5,2026-06-28 09:58:25
saya ingin ada dana cicil di aplikasi dana ku,5,2026-06-28 09:57:52
sangat bagus dan terpecayah,5,2026-06-28 09:54:31
sukses slalu,5,2026-06-28 09:54:03
baik,5,2026-06-28 09:48:37
sangatpuas,5,2026-06-28 09:46:31
bener-bener bad for this apk karena tanpa aba-aba akun ditangguhkan padahal nggak ngelakuin kesalahan juga dan pas masuk setelah instal aplikasi lagi eh malah tertulis akun telah ditangguhkan dan tidak bisa dipulihkan itu satu-satunya akun dana saya padahal,1,2026-06-28 09:44:20
guuud,5,2026-06-28 09:40:29
good,5,2026-06-28 09:40:04
mantap,5,2026-06-28 09:39:54
kok dana ku gk bisa mengirim alasan keamanan kak belum ada yg balas katanya harus nunggu 24 jam baru di balas adehhh tolong di bantu pihak dana 🙏🙏,2,2026-06-28 09:38:04
"telat bayar dana cicil, limit langsung di bekukan",1,2026-06-28 09:37:17
Suka,5,2026-06-28 09:33:01
"Masa dalam sehari ada 5 kali percobaan masuk akun, keamanannya gimana sih?",2,2026-06-28 09:31:09
terus tingkatkan,3,2026-06-28 09:30:22
Terbaik dan sangat membantu,5,2026-06-28 09:26:20
"dana cicilan tidak ada,padahal transaksi saya perbulan mencapai 15 hingga 30 juta",1,2026-06-28 09:23:48
"Sengaja kasi bintang 5 biar paling atas saya pengguna lama di aplikasi DANA stelah muncul Dana cicil awal mula lancar2 aja bisa dipake tapi makin kesini makin gk bisa dipake di limit ada tapi di smartpay nya 0 rupiah kan aneh bukan saya aja yg ngeluh tentang masalah ini hampir stiap pengguna DANA ,TERIMAKASIH semoga cepat sembuh aplikasi DANA",5,2026-06-28 09:22:09
keren selalu pake dana.,5,2026-06-28 09:20:56
admin kenapa ya dana cicil nya tidak tersedia.?? padahal limit nya masih banyak,3,2026-06-28 09:20:46
aplikasi ini sangatlah susah digunakan dan terlalu rumit dalam proses penggunaan nya.,1,2026-06-28 09:19:38
saya kehilangan uang 2juta lebih,1,2026-06-28 09:16:52
ga langganan tiba tiba kepotong langganan waktu di chek di akun gogel ga ada apa apa aneh protect 0,1,2026-06-28 09:16:48
"aplikasi gaguna, masa saldo gw kemaren sisa 15rb pas liat sisa 3rb, mana nih developer gantiin saldo gw, saldo sisa top up gw simpan pas liat udh sisa 3rb, dikira 15rb dikit, gw mw premium di wink udh habis aj saldonya, gamau ah ganti ganti gw dh boncos nih pen premium wink gamau tau developer gantiin 10 kali lipat",1,2026-06-28 09:16:37
mantap dan bagus sekali,5,2026-06-28 09:16:11
"sudah cukup bagus untuk membantu bertransaksi,,,satu hal yang perlu diperhatikan yaitu fitur dana cicil,yang sering terjadi keluhan pada pengguna dana",5,2026-06-28 09:13:09
top lahhhh,5,2026-06-28 09:12:01
mantap,5,2026-06-28 09:11:44
pokok nya mudah digunakan,5,2026-06-28 09:04:44
saldo bisa dicuri orang,1,2026-06-28 09:04:25
kurang tanggap,2,2026-06-28 09:03:21
tolong tangung jawabnya saya berkali-kali kehilangan saldo tapi tidak ada pertanggung jawaban tidak mengutamakan pengguna,1,2026-06-28 09:01:34
udah sering transaksi tapi belum dapet dana cicil,5,2026-06-28 09:01:26
"hati2 duit kalian hilang guys.... jgn pake ewallet ini,... disaat ada kendala, buat laporan nya susah, reapon nya lambat sekali... pokok nya jgn pake e-wallet ini",1,2026-06-28 08:56:38
sangat membantu sekali,4,2026-06-28 08:52:25
"akun saya kena hack, terhubung ke lazada dan buka lapak, di tambah saldo saya jadi 0 padahal saya tidak melakukan aktifitas tersebut",1,2026-06-28 08:51:40
"aplikasi dana ok,bisa untuk transfer ke bank dgn mudah dan tanpa admin",5,2026-06-28 08:51:16
sangat sangat ok,5,2026-06-28 08:51:07
mantap,5,2026-06-28 08:48:58
mudah nyaman,5,2026-06-28 08:48:32
"kenapa saya ndk bisa buka dana tidak bisa transfer dan qris semua tidak bisa digunakan ,tolong perbaiki ya",1,2026-06-28 08:47:27
"duit ilang"" sendiri ajaib sekali",1,2026-06-28 08:44:33
ini tagihan listrik dana kapan jadinya perbaikan lama bangetttt,2,2026-06-28 08:42:07
"Ini kenapa dah sudh 2hri gak bisa kirim uang pdhl lagi urgen banget, ke ssma no dana gak bisa ke rek bank jg gak bisa pdhl bru sya updte... siyal bgus gilirn klik kirim sinyal hilang ampun dah",5,2026-06-28 08:40:22
"akun dibekukan sudah mengajukan laporan di dana tetap gak ada perbaikan. hanya dijawab menunggu 2x24 jam tapi akun tetap tidak bisa digunakan gak ada perbaikan. suruh log out dan verifikasi ulang, cara ini sudah dilakukan tapi tetap tidak bisa akun nya. sudah berkali-kali mengajukan laporan responnya hanya seperti itu sarannya berkali-kali sudah dilakukan, tapi akun tetap tidak bisa digunakan. saldo ketahan tidak bisa melakukan transaksi",1,2026-06-28 08:39:19
lancar jaya,5,2026-06-28 08:39:08
aplikasi bagus,5,2026-06-28 08:38:39
bagus,5,2026-06-28 08:37:50
setiap ngisi pasti ketahan terus uang saya tolong di perbaikan sistem nya min,3,2026-06-28 08:26:08
sang at membantu,5,2026-06-28 08:26:03
sangat bagus dan bermanfaat good job,5,2026-06-28 08:24:36
sangat mudah digunakan dan bisa dana cicil mantap,5,2026-06-28 08:23:14
dana cicil sekarang gak bisa pas darurat padahal sudah lunas..,1,2026-06-28 08:23:03
sangat bagus,5,2026-06-28 08:18:39
manteppp,5,2026-06-28 08:17:38
Bagus,5,2026-06-28 08:11:53
"no Saya di hack, tidak merasa kirm uang ke org. tau² Ada notif transaksi mengirim. kan aneh",1,2026-06-28 08:11:10
Nice,4,2026-06-28 08:10:00
"aplikasi buruk , gampang sekali di bobol , saldo saya udah 2 kali hilang sendiri dana ya harus tanggung jawab lah gimana cara nya , bukan malah leaps tangan bayangin 2 kali kebobol hee dana tanggungjawab kembalikan uang saya 150 dana 200",1,2026-06-28 08:07:19
sangat puas,5,2026-06-28 08:07:05
aplikasi gaguna sudah maraknya pembobolan hati hati mending kalau make e wallet shopepay dah,1,2026-06-28 08:05:34
"mudah dan aman, tapi sayang, dulu ngisi pulsa walau paketan habis masih bisa, sekarang udah gak bisa. mohon di perbaiki",5,2026-06-28 08:04:33
knp dana cicil TDK bisa d gunakan,1,2026-06-28 08:02:53
"inti nya saya sudah pakai dana dan jadi planggan tetap dana,, namun blom juga ada diktif kan dana cicil nyq",1,2026-06-28 08:02:43
"mulai kurang enak nih,semenjak ada biaya transaksi ketika ngirim ke bank",1,2026-06-28 08:00:02
bagus dan mudah digunakan,5,2026-06-28 07:55:48
sistim keamanannya tidak bisa dipercaya....lepas tanggung jawab atas kehilangan saldo customer,1,2026-06-28 07:54:24
gk bisa tutup dana cicil.,1,2026-06-28 07:52:16
Tidak ada pilihan Provinsi Nusa Tenggara Barat pada verifikasi data Dana Premium,2,2026-06-28 07:50:32
TIDAK APA APA LEBIHANGATAMAN,5,2026-06-28 07:50:10
sangat baik,5,2026-06-28 07:46:23
Akun dana susah di buka,5,2026-06-28 07:44:55
DANA CICIL tidak bisa di gunakan setelah pelunasan,2,2026-06-28 07:44:04
apk dana skarang kok GK aman y saldo di dana ku bisa hilang sndiri mna saldo y lumayan besar lgi mengecewakan😭😭,1,2026-06-28 07:43:36
agak lama buka aplikasinya..,3,2026-06-28 07:42:29
sangat berguna,5,2026-06-28 07:41:34
"ini ada apa ya ko FITUR DANA CICILAN GK BISA DIPAKAI SEMENTARA LIMITE NYA MASIH ADA , TOLONG DONG ADMIN DI KONFIRMASI ,masih belum bisa di gunakan, tolong di aktifkan dana CICiL nya",5,2026-06-28 07:40:28
sayangnya dana cicilny anggk bisa di pake,5,2026-06-28 07:39:59
"CS dana semuanya payah tidak profesional, Kendala belum selesai orang masih ngetik, langsung di tutup percakapan...makan gaji buta kalian",1,2026-06-28 07:38:00
ok,5,2026-06-28 07:33:49
buruk,1,2026-06-28 07:33:04
sangat membantu,5,2026-06-28 07:31:44
Sangat aman dan terpercaya,5,2026-06-28 07:30:42
ok,5,2026-06-28 07:27:20
"Kapok banget pakai apk ini, pengalaman pribadi. Saldo saya tiba-tiba hilang sisa 70 Rupiah. Transaksi Tidak Jelas. Chat pengaduan Susah dan Ribet. padahal sudah verifikasi pakai wajah dan KTP, tapi uang hangus tak kembali.",1,2026-06-28 07:26:55
bagus,5,2026-06-28 07:26:27
bagus sekali ini sangat membantu,5,2026-06-28 07:24:26
AWALNYA SAYA TIDAK PERCAYA KLO BANYAK ORANG YANG SUDAH KEHILANGAN SALDO SECARA TIBA2 DI APLIKASI DANA Dan AKHIRNYA SAYA KEHILANGAN SALDO JUGA SECARA TIBA2,1,2026-06-28 07:21:35
bagus aja,5,2026-06-28 07:19:18
Sudah Banyak ORANG KEHILANGAN SALDO Tiba2 di APLIKASI DANA Dan SAYA TIDAK PERCAYA dan AKHIRNYA SAYA PUN KENA KEHILANGAN SALDO SECARA TIBA2,1,2026-06-28 07:18:49
"Ngapain ada fitur DANA CICIL kalau limit sama sekali tidak bisa di pake, Hapus aja gak berguna.",1,2026-06-28 07:18:30
dana cicil gk bisa digunakan,5,2026-06-28 07:16:51
jelek aplikasi ini. stiap kirim uang kesini pasti dana potong langsung 500 perak atau 1000. klu di kali beribu orng yg pkai dana AP GK kenyang tuh dana. rekomendasi jgn di pakai.,1,2026-06-28 07:16:05
baik,5,2026-06-28 07:11:46
membantu setiap urusan saya dengan muda,5,2026-06-28 07:11:17
sangat membantu kehidupan ekonomi rumah tangga alhamdulillah,5,2026-06-28 07:09:13
dana cicil ga muncul,5,2026-06-28 07:08:43
"ga aman banget ini apk, saya simpan saldo beberpa jt ketarik tiba² ke pembayaran beberaoa merchant (padahal saya ga melakukan transaksi apapun). Udah saya ganti PIN dana juga kalo ada saldo langsung hilang dalam waktu 10 mnt an, proteksi nya ga aman banget.",1,2026-06-28 07:07:29
bagus banget aplikasi nya,2,2026-06-28 07:04:32
dari 2018/2019 sampe sekarang masih pake. semoga aplikasinya bertahan terus selamanya,5,2026-06-28 07:01:41
aplikasi dana mantap mantul🧡🧡,5,2026-06-28 06:57:16
Ok,3,2026-06-28 06:57:14
"kecewa banget sama aplikasi ini,soalnya enggak bisa memindahkan akun ku dari yang lama mau ke baru",1,2026-06-28 06:57:03
ga ada dana gratis Minimal 100k kek :v,1,2026-06-28 06:56:47
"PUNYA BISNIS ONLINE UDAH ENAK PUNYA PENGHASILAN EH TIBA"" QR NYA MALAH EROR GAK BUSA DI TF PEMBAYARAN GAGAL MULU UDAH SEBULAN LEBIH MASIH BELUM BISA HADEH",2,2026-06-28 06:55:08
tambahkan pitur Dana paylater,5,2026-06-28 06:55:01
👍,1,2026-06-28 06:53:57
dana cicil verifikasi gagal padahal setiap hari selalu bertransaksi menggunakan dana,5,2026-06-28 06:53:19
nice,5,2026-06-28 06:52:57
"dana cicil kadang bisa di pake kadang enggak, GJ",3,2026-06-28 06:51:13
kenapa aku mau pake dana cicil ga bisaaa yaa,4,2026-06-28 06:51:11
gak ada dana cicil,3,2026-06-28 06:47:28
sejauh ini cukup bagus dan yang mengesalkan bila ada dana cicil. padahal gak pesan tapi kok tiba tiba harus bayar. selain itu ada saklar onnya tetapi tidak ada saklar offnya..... cara paling bagus bayar tuntas dan langsung tutup akun.,4,2026-06-28 06:46:46
eror punya gw,1,2026-06-28 06:45:57
kenapa dana cicil saya tidak bisa di gunakan??selalu tidak tersedia. padahal limit ada,2,2026-06-28 06:43:19
"Dana tolol , mau ganti nomor susah bgt",1,2026-06-28 06:43:16
Untuk pihak DANA mohon lebih jujur lagi dalam menyediakan layanan penjualan paket internet. Sesuaikan keterangan jumlah paket dan harga serta masa berlaku dengan yang setelah berhasil melakukan pembayaran. Beli data 17gb yang masuk hanya 7gb. Merasa tertipu dan lama lama jadi seperti aplikasi scam.,1,2026-06-28 06:42:17
dana Cicil saya tidak bisa digunakan saat bayar limit tersedia 200rb tolong bantuannya,5,2026-06-28 06:41:32
modal abis ya dana cicil makin ksini ga jelas transaksi udah banyak data bener 2 kali proses lama lama bgt mending make sea bank dah,1,2026-06-28 06:38:17
"kenapa dana cicil saya tidak bisa di gunakan padahal sudah dibayar dan limit sudah kembali, mohon bantuannya",3,2026-06-28 06:37:55
setelah update aplikasi susah di buka,2,2026-06-28 06:37:39
"sungguh mengecewakan, saya ingin beli game di play store malah pembayaran tidak sah padahal saya punya saldo 10,000 dan harga game dan pajak nya 2,500. malah pembayaran kurang dan tidak falid.",1,2026-06-28 06:37:01
ok good,5,2026-06-28 06:36:50
"Tolong di perbaikin masalah fitur dana cicil gak muncul pada ud bertahun2 pakai aplikasi dana, masih belom muncul2",5,2026-06-28 06:33:09
bagus,5,2026-06-28 06:31:50
mantap,5,2026-06-28 06:31:21
dana mental terus saat teman kirim uang,1,2026-06-28 06:28:32
"hp nya ilang susah banget loginnya, ada pemindai wajah dan sidik jari, yang di minta malah kode otp, udah tau nomernya ilang, hilang dah saldo saya",1,2026-06-28 06:24:22
puas bgatz,5,2026-06-28 06:23:34
good,5,2026-06-28 06:22:23
sangat membantu...,5,2026-06-28 06:16:29
sangat bagud,5,2026-06-28 06:15:40
sangat puas,5,2026-06-28 06:15:19
apk secam bikin even ga jelas,1,2026-06-28 06:13:21
sangat efektif,5,2026-06-28 06:10:46
mantap,5,2026-06-28 06:09:19
tiba tiba ada dana cicil padahal gak pernah pakainya dan Daan kesedot Mulu gak baik ni apk nya Jan pernah pakai deh yang belum pakai sebaiknya ganti lainya aja udah gak aman ni apknya jelek banget sumpah,1,2026-06-28 06:08:58
"kalo ada bintang ½ mending saya kasih bintang ½, ada kendala gak solutif masa pengerjaan 5 hari aduh gak solutif banget gasuka! padahal pengguna lama dan sampe rekomendasiin yg lain buat pake juga! gak lagi lagi pake dana",1,2026-06-28 06:07:41
bagus,5,2026-06-28 06:03:27
bantu dana cicil saya muculkan,5,2026-06-28 06:03:17
Jgn ada yg instal dana nnti uang kalian hilang dana gamau tanggung jwab mlah suruh lapor ke polisi kocak,1,2026-06-28 06:02:25
bagus,5,2026-06-28 06:01:20
cara daftar dana Tampa ktp,5,2026-06-28 06:00:38
i like this,5,2026-06-28 05:56:54
sangat puas,5,2026-06-28 05:54:45
dana sudah limit menggunakan dana beta di menu bisnis selalu force close,1,2026-06-28 05:54:17
bohong banget,5,2026-06-28 05:53:26
banyak errornya,3,2026-06-28 05:50:28
best,5,2026-06-28 05:49:48
#transaksi mudah#cepat#sekali klik langsung selesai,4,2026-06-28 05:49:06
mantaaap 👍👍,5,2026-06-28 05:46:45
kenapa tidak ada dana cicil,4,2026-06-28 05:46:23
hai kak maaf.aku mau bertanya kenapa akun dana aku.sudah muncul dana cicil dan saldo nya sudah muncul juga..tapi setelah aku mau pakai dana cicil untuk melakukan pembayaran.ada bacaan saldo tidak tersedia..padahal untuk akun dana aku sudah premium Dan data sudah 100% lengkap.dan selalu bertransaksi pembayaran pakai dana ini..,4,2026-06-28 05:45:33
bgus,5,2026-06-28 05:44:32
sangat baik,5,2026-06-28 05:43:32
mudah dan cepat pelaksanaannya,5,2026-06-28 05:43:31
mantapp,5,2026-06-28 05:42:35
ok,5,2026-06-28 05:42:24
"Sy kasih bintang 2 dl, karna sy blm bisa bikin akun dana, selalu masalah jaringa padahal pakai jaringan wifi,,, udah brp x instal tetap gitu aja,,,",2,2026-06-28 05:41:19
tolong munculkan fitur dana cicil di akun saya nama Ahmad sopiyan tolong di bantu fitur dana cicil nya ya ka terimakasih,5,2026-06-28 05:40:43
saya ingin masuk ke beta,5,2026-06-28 05:37:54
terbaik,4,2026-06-28 05:37:16
DANA cicil tidak bisa di gunakan,5,2026-06-28 05:37:14
kurang puas karena limit dana cicil saya tidak bisa di gunakan,4,2026-06-28 05:32:28
"Akun dibekukan krn lebih dr 1 tahun tidak dipakai. Mau aktifkan kembali, prosesnya sungguh menyita waktu dan DIANA sama sekali tidak membantu. Komplain ke email resmi, tapi saya hanya disuruh untuk chat DIANA lagi. Lebih dari 1 bulan problem saya tidak ada kemajuan.",1,2026-06-28 05:31:43
baik,4,2026-06-28 05:30:48
❤,5,2026-06-28 05:30:45
mantaf,5,2026-06-28 05:30:36
sangat bagus make dana,5,2026-06-28 05:29:32
bagus,4,2026-06-28 05:29:24
Bagus,5,2026-06-28 05:27:38
👍👍👍,5,2026-06-28 05:24:51
ok,5,2026-06-28 05:24:16
mantapp danaku,5,2026-06-28 05:24:11
Bagus,5,2026-06-28 05:21:56
cukup cape udah limit dana cicil receh d pk klo lg waras gx bs kpn saja hati2 yg punya limit dana cicil tdk bs d pk wajar gx bs d andalkan terimakasih jgn berharap dana cicil bs d gunakan walaupun ada limit setengah modar mau d pk coba terus menerus sampai gx bs selamat berkorban waktu untuk punya dana cicil.,1,2026-06-28 05:19:10
sangat puas,5,2026-06-28 05:18:39
dana cicil nggak bisa di gunakan aplikasi penipu,1,2026-06-28 05:18:31
mantap,5,2026-06-28 05:16:53
"jahanam... uang di potong sama youtube music tampa saya setujui sangat mudah. mintak kembali sangat payah, tidak aman jugak pakai dana",5,2026-06-28 05:15:35
ok,3,2026-06-28 05:13:32
bagus,5,2026-06-28 05:13:14
bagus,5,2026-06-28 05:12:21
sangat bagus belum timbul fitur dana cicil,5,2026-06-28 05:07:23
mantap,5,2026-06-28 05:05:46
tolong di bantu ya KA mengenai saldo saya 600k yang hilang saat tarik tunai bi ATM BCA uang itu sangat berarti buat saya 🙏🙏,5,2026-06-28 05:05:36
dana ewalat ini sangat meeugikan jika nomor ponsel yang terdaptar sudah tidak aktip gk bis menerima kife otp dana ewaet ini gk bisa berguna sanagt nerugikan dana ewaker inj,1,2026-06-28 05:04:47
memudahkan transaksi..,4,2026-06-28 05:02:46
ok,5,2026-06-28 04:56:23
tiap buka aplikasi iklan muncul terus,1,2026-06-28 04:56:12
mantap cuman gk ada dana coicil,4,2026-06-28 04:50:19
"bug tarik tunai masih ada di bbrp perangkat, yaitu ketika di klik tarik tunai malah kembali ke menu utama app, itu aja sih, tlong di fix",4,2026-06-28 04:48:02
banyak bug habis update ngak jelas,1,2026-06-28 04:46:55
